character	gender
HAMLET	Male
IAGO	Male
KING HENRY	Male
OTHELLO	Male
TIMON	Male
DUKE	Male
ANTONY	Male
LEAR	Male
KING EDWARD	Male
BRUTUS	Male
MACBETH	Male
TITUS	Male
LEONTES	Male
RICHARD	Male
ROSALIND	Female
CLEOPATRA	Female
CORIOLANUS	Male
PROSPERO	Male
FALSTAFF	Male
ROMEO	Male
PERICLES	Male
INNOGEN	Female
PALAMON	Male
BEROWNE	Male
PETRUCHIO	Male
MENENIUS	Male
PORTIA	Female
PRINCE HAL	Male
HOTSPUR	Male
KING	Male
JULIET	Female
TROILUS	Male
BASTARD	Male
ARCITE	Male
CASSIUS	Male
ULYSSES	Male
HELENA	Female
KING RICHARD	Male
PROTEUS	Male
POSTHUMUS	Male
KING JOHN	Male
WOLSEY	Male
WARWICK	Male
BENEDICK	Male
IACHIMO	Male
EDWARD	Male
ISABELLA	Female
CAESAR	Male
PANDARUS	Male
TALBOT	Male
EDGAR	Male
DESDEMONA	Female
VALENTINE	Male
YORK	Male
EMILIA	Female
BUCKINGHAM	Male
PAROLLES	Male
KENT	Male
AARON	Male
POLONIUS	Male
SHYLOCK	Male
ENOBARBUS	Male
LEONATO	Male
SIR TOBY	Male
GLOUCESTER	Male
BASSANIO	Male
BELARIUS	Male
VIOLA	Female
PAULINA	Female
FRIAR	Male
MARCUS	Male
MISTRESS PAGE	Female
THESEUS	Male
DAUGHTER	Female
BOLINGBROKE	Male
DON PEDRO	Male
JULIA	Female
ANGELO	Male
QUEEN	Female
OLIVIA	Female
PRINCE HENRY	Male
VOLUMNIA	Female
GOWER	Male
EDMUND	Male
FESTE	Male
SICINIUS	Male
ORLANDO	Male
CRESSIDA	Female
FORD	Male
SUFFOLK	Male
CAMILLO	Male
LUCIO	Male
HORATIO	Male
KING HENRY IV	Male
ANTIPHOLUS OF SYRACUSE	Male
TRANIO	Male
COUNTESS	Female
AUTOLYCUS	Male
CYMBELINE	Male
PRINCESS	Female
THERSITES	Male
TOUCHSTONE	Male
CELIA	Female
CLAUDIO	Male
MALVOLIO	Male
PRINCE	Male
BEATRICE	Female
COMINIUS	Male
FLUELLEN	Male
BERTRAM	Male
NURSE	Female
LAFEW	Male
AUFIDIUS	Male
CASSIO	Male
CAPULET	Male
POLIXENES	Male
QUEEN ELIZABETH	Female
CONSTANCE	Female
ADRIANA	Female
QUEEN KATHERINE	Female
CLOTEN	Male
LADY	Female
MERCUTIO	Male
TAMORA	Female
BOTTOM	Male
PUCELLE	Female
APEMANTUS	Male
DROMIO OF SYRACUSE	Male
CADE	Male
MISTRESS QUICKLY	Female
ARMADO	Male
FOOL	Male
BOYET	Male
OBERON	Male
CANTERBURY	Male
CHORUS	Male
KATHERINA	Female
JAQUES	Male
ORSINO	Male
QUEEN MARGARET	Female
PISANIO	Male
EVANS	Male
HECTOR	Male
ANTIPHOLUS OF EPHESUS	Male
MARTIUS	Male
NORFOLK	Male
MALCOLM	Male
HERMIONE	Female
LAERTES	Male
SATURNINUS	Male
KING PHILIP	Male
HORTENSIO	Male
PUCK	Male
FLAVIUS	Male
FLORIZEL	Male
HUBERT	Male
LAUNCE	Male
GONERILL	Female
SPEED	Male
ARIEL	Male
SHALLOW	Male
AGAMEMNON	Male
CLOWN	Male
MISTRESS FORD	Female
JOHN OF GAUNT	Male
ACHILLES	Male
COSTARD	Male
REGAN	Female
MARINA	Female
WORCESTER	Male
ESCALUS	Male
LUCENTIO	Male
ANTONIO	Male
MACDUFF	Male
LORENZO	Male
LYSANDER	Male
LUCIUS	Male
CALIBAN	Male
GRATIANO	Male
DOGBERRY	Male
BAPTISTA	Male
FIRST LORD	Male
OPHELIA	Female
HOSTESS	Female
GRUMIO	Male
STEPHANO	Male
GREMIO	Male
PROVOST	Male
ROSALINE	Female
HOLOFERNES	Male
HERMIA	Female
GUIDERIUS	Male
CARDINAL PANDULPH	Male
LAUNCELOT	Male
CLARENCE	Male
SIR ANDREW	Male
PISTOL	Male
GONZALO	Male
BENVOLIO	Male
LORD CHIEF JUSTICE	Male
SALISBURY	Male
ALBANY	Male
ALCIBIADES	Male
SILVIA	Female
NESTOR	Male
ANNE	Female
SIMONIDES	Male
POMPEY	Male
DROMIO OF EPHESUS	Male
MOTE	Male
MIRANDA	Female
LORD CHAMBERLAIN	Male
PAGE	Male
MARIA	Female
ARCHBISHOP	Male
OLIVER	Male
LORD	Male
AENEAS	Male
EGEON	Male
SLENDER	Male
NORTHUMBERLAND	Male
TITANIA	Female
DUCHESS OF YORK	Female
HASTINGS	Male
CLIFFORD	Male
FERDINAND	Male
BRABANTIO	Male
DIANA	Female
ARVIRAGUS	Male
LEWIS THE DAUPHIN	Male
RICHMOND	Male
SHEPHERD	Male
DEMETRIUS	Male
